Date,Close,Volume USDT,RSI,MACD_Hist,ATR,KAMAO
2017-09-21 09:00:00.000,3860.0,74434.89116624,49.19245368556472,-48.27969732749179,88.05471987512784,2.495591036334669
2017-09-21 10:00:00.000,3871.48,44687.31894392,49.233202184079325,-47.78047621943943,87.99628320883282,2.6167097562609682
2017-09-21 11:00:00.000,3864.95,80546.17167189,49.21068528582727,-47.30806062648356,87.89712760404463,2.532239242696283
2017-09-21 12:00:00.000,3858.08,90331.53139012,49.186947599860375,-46.863233259498074,87.72085639093736,2.4472450521887827
2017-09-21 13:00:00.000,3856.67,103405.8180402,49.182063971989635,-46.42537917307937,87.57808598501194,2.4246541290867114
2017-09-21 14:00:00.000,3782.55,231023.99890489,48.925944453009166,-46.262423409981125,87.58749644338988,1.5715212094439464
2017-09-21 15:00:00.000,3727.44,609361.24944462,48.736674666807325,-46.29901798326371,87.72223603730836,0.9367930735687326
2017-09-21 16:00:00.000,3670.0,210125.22874141,48.540373141250846,-46.53990219280027,87.79940200148305,0.2803996283251789
2017-09-21 17:00:00.000,3663.82,110246.67757186,48.51928439883831,-46.79216122016227,87.76845140028816,0.20910971617203314
2017-09-21 18:00:00.000,3673.65,140629.2452473,48.55494188701574,-46.99652298530219,87.67402148540634,0.3199497892127869
2017-09-21 19:00:00.000,3605.03,289605.97438091,48.32061061408368,-47.44305162270777,87.65424761193788,-0.4604813764788693
2017-09-21 20:00:00.000,3630.0,225928.87448144,48.41147886954348,-47.782046709468105,87.6701575892833,-0.17470976895414533
2017-09-21 21:00:00.000,3630.0,187438.27756349,48.41147886954349,-48.10756904972082,87.59221069169615,-0.17403358265829266
2017-09-21 22:00:00.000,3627.12,108578.18892009,48.40160431621166,-48.430446397499026,87.50190649320896,-0.20613459771875003
2017-09-21 23:00:00.000,3609.99,112532.99292286,48.34277956851549,-48.803209865373205,87.41758534293156,-0.40028813864188295
2017-09-22 00:00:00.000,3647.29,103175.23080511,48.47952917289462,-49.024211898414805,87.31949729131568,0.026297652606170834
2017-09-22 01:00:00.000,3651.75,147212.86654958,48.495880669458124,-49.217386566096025,87.17158212080581,0.0770982006419055
2017-09-22 02:00:00.000,3617.24,79893.51954844,48.37672390294795,-49.52688481497863,87.07357145973198,-0.3174916435205115
2017-09-22 03:00:00.000,3697.51,150354.65130072,48.67094910322031,-49.52733148693038,87.05332273514944,0.6015618179503215
2017-09-22 04:00:00.000,3732.46,222349.0679539,48.79838926555235,-49.39171216175245,87.0104557031996,0.9987730720405938
2017-09-22 05:00:00.000,3713.43,89200.2593572,48.732312894304854,-49.3216248525177,86.9056626802734,0.7771335937039414
2017-09-22 06:00:00.000,3731.54,109064.30607577,48.7984884523177,-49.178905202985604,86.77088392229639,0.9821021974539244
2017-09-22 07:00:00.000,3658.46,97937.9433469,48.544875263197085,-49.301093514668594,86.75531581538479,0.13917996002707253
2017-09-22 08:00:00.000,3647.7,98670.56204439,48.50764604910536,-49.453354314455794,86.62583570879139,0.015093110102478595
2017-09-22 09:00:00.000,3606.95,107162.79219008,48.36675052345626,-49.745628859011674,86.52873500727712,-0.45332008686560576
2017-09-22 10:00:00.000,3572.85,150926.42742442,48.24912605083866,-50.15066932937343,86.41222091499355,-0.8437453483488523
2017-09-22 11:00:00.000,3539.97,190043.74012904,48.13591419670899,-50.66175426864504,86.39248216227035,-1.2175319097230723
2017-09-22 12:00:00.000,3592.12,127074.05832238,48.32878571257302,-50.96334492401242,86.37342715583502,-0.6106742000171922
2017-09-22 13:00:00.000,3566.11,89410.47772714,48.23904684300051,-51.34753064501399,86.27109552739503,-0.9077595156594536
2017-09-22 14:00:00.000,3596.49,189163.51292071,48.3513973857268,-51.60480851294702,86.29981250499206,-0.5523678370069703
2017-09-22 15:00:00.000,3514.07,235994.88533179,48.0674984648666,-52.15337277776865,86.37668806301292,-1.4971635045149574
2017-09-22 16:00:00.000,3550.0,94215.55081979,48.200482499055326,-52.55129768274104,86.2924419675873,-1.0757010204096404
2017-09-22 17:00:00.000,3557.01,113970.01885995,48.22642570722272,-52.90802504807317,86.18433946173138,-0.9896296226179556
2017-09-22 18:00:00.000,3559.99,86639.32368666,48.23747936714952,-53.23915002366188,86.03039797523813,-0.9508943521049423
2017-09-22 19:00:00.000,3590.0,94203.8843017,48.34886316888453,-53.445479806021225,85.91447417174041,-0.599279611140141
2017-09-22 20:00:00.000,3607.21,133211.24073737,48.412712838706476,-53.57656095163668,85.81216918908642,-0.3970843186852301
2017-09-22 21:00:00.000,3624.21,143021.23482443,48.475816188405425,-53.63458794902867,85.76585320935699,-0.19794379355498373
2017-09-22 22:00:00.000,3597.2,112622.88681148,48.38150586414861,-53.78317379998991,85.71663936051962,-0.5101451734132194
2017-09-22 23:00:00.000,3595.87,66252.99185954,48.376857573353476,-53.925890027202826,85.58286960051808,-0.5233604240135972
2017-09-23 00:00:00.000,3599.72,101526.65477934,48.39125353819586,-54.04372790358035,85.49238486956416,-0.4761106821604115
2017-09-23 01:00:00.000,3584.49,99135.37814639,48.33777043489659,-54.20747233012368,85.40702062888094,-0.6511356241999179
2017-09-23 02:00:00.000,3620.0,78322.89243353,48.47095290858233,-54.22917698696695,85.26223782939022,-0.23444790517161987
2017-09-23 03:00:00.000,3605.0,64957.67623508,48.41806986258587,-54.297744776025084,85.08913593108845,-0.40889924952876144
2017-09-23 04:00:00.000,3677.35,163110.80677932,48.688894408360845,-54.09027285704482,85.07071588367451,0.4391344307498661
2017-09-23 05:00:00.000,3682.37,159520.51019448,48.70763584174182,-53.860266870966754,84.96863041973499,0.49606271952633607
2017-09-23 06:00:00.000,3692.75,87077.66013808,48.746460121126475,-53.588417789711855,84.8569380672953,0.6157326090499285
2017-09-23 07:00:00.000,3689.38,65415.1832091,48.734448164451734,-53.3262344690436,84.70233408495217,0.5739523086764539
2017-09-23 08:00:00.000,3734.61,120508.30208013,48.90394017929625,-52.89440467786028,84.59905332874695,1.1034175262081236
2017-09-23 09:00:00.000,3726.83,107756.97742134,48.876061814874724,-52.49162971715751,84.45316328907806,1.007839038714078
2017-09-23 10:00:00.000,3770.01,127113.79498186,49.03778387162989,-51.92954174681657,84.40717173167009,1.5121869371300023
2017-09-23 11:00:00.000,3798.0,114605.89564237,49.142380026159984,-51.26724934517564,84.28658491104012,1.837142721285169
2017-09-23 12:00:00.000,3768.01,172444.53568162,49.03422796711336,-50.72046589598001,84.18665459880488,1.475423968888754
2017-09-23 13:00:00.000,3780.0,139935.64739452,49.07916571508993,-50.13228008925991,84.18333122202273,1.6095960873038657
2017-09-23 14:00:00.000,3770.01,116996.13226383,49.043028826552025,-49.584566211586065,84.04370821243337,1.485598924819797
2017-09-23 15:00:00.000,3746.36,127507.13304122,48.95743698209558,-49.12695167064895,83.94964955703922,1.198994411275267
2017-09-23 16:00:00.000,3750.24,170354.93789912,48.97209104071341,-48.65626816053371,83.87953155240518,1.2396223426035602
2017-09-23 17:00:00.000,3753.14,112673.4550991,48.9830709943401,-48.17642349705265,83.71584247040398,1.2698707413855732
2017-09-23 18:00:00.000,3734.61,129529.12393819,48.91561630362329,-47.76663280263186,83.6019262725754,1.044203010123397
2017-09-23 19:00:00.000,3779.5,137170.40159136,49.085978098536415,-47.19181280567007,83.48700982533559,1.575105165699122
2017-09-23 20:00:00.000,3779.65,105998.55930635,49.086547151545126,-46.62010940716719,83.2955603913316,1.5722857634134275
2017-09-23 21:00:00.000,3727.45,90773.6840064,48.895798893979524,-46.24448761792718,83.21131765207168,0.9412971172436884
2017-09-23 22:00:00.000,3731.58,77326.91714736,48.91155303814061,-45.8535727016598,83.09878396858338,0.9867652724221351
2017-09-23 23:00:00.000,3780.0,129944.74010502,49.096079496998925,-45.28443571439965,83.02533520677211,1.5623813488613507
2017-09-24 00:00:00.000,3749.7,82244.03111991,48.98503126460139,-44.83073043216338,82.8981467091329,1.1928044000197504
2017-09-24 01:00:00.000,3767.47,143503.58877449,49.052814813106885,-44.31308902133827,82.78788436773667,1.4013774624497952
2017-09-24 02:00:00.000,3764.49,90709.19604931,49.04185465375937,-43.80927804748957,82.68467637854698,1.3596615620928416
2017-09-24 03:00:00.000,3782.9,110069.85795663,49.11230736144221,-43.24023443957604,82.50287674646796,1.5773822909935928
2017-09-24 04:00:00.000,3672.66,313248.94989412,48.707859072088404,-43.08148877647095,82.65361223234157,0.2393799801242693
2017-09-24 05:00:00.000,3687.62,153767.88543151,48.765287090487995,-42.8636609270734,82.56312529117389,0.41830926071733116
2017-09-24 06:00:00.000,3635.27,117739.96480386,48.57440724426929,-42.83601598075619,82.56615170399779,-0.214419124806678
2017-09-24 07:00:00.000,3669.0,92285.61735067,48.70416267391012,-42.677591019700714,82.45803815725971,0.19315321686107687
2017-09-24 08:00:00.000,3641.75,69528.8495772,48.604789323021976,-42.615689324053605,82.3136689960774,-0.13670971356842662
2017-09-24 09:00:00.000,3663.68,100356.26454016,48.68929355183773,-42.46717030437242,82.21297355263668,0.12906377091700008
